source,target
Karl Marx,Theodor W. Adorno
Karl Marx,Valentin Asmus
Karl Marx,Valentino Gerratana
Karl Marx,Vladimir Lenin
Karl Marx,Vladimir Safatle
Karl Marx,Walter Benjamin
Karl Marx,Witold Rola Piekarski
Karl Marx,Yuk Hui
Karl Marx,Étienne Balibar
Immanuel Kant,Alain
Immanuel Kant,Aleksei Losev
Immanuel Kant,Arthur Schopenhauer
Immanuel Kant,David Hilbert
Immanuel Kant,Deng Xiaomang
Immanuel Kant,Dieter Henrich
Immanuel Kant,Donald Davidson
Immanuel Kant,Edmund Husserl
Immanuel Kant,Eugene Thacker
Immanuel Kant,Evald Ilyenkov
Immanuel Kant,Felix Adler
Immanuel Kant,Ferdinand Alquié
Immanuel Kant,Francis Ellingwood Abbot
Immanuel Kant,Fredrik Bergbom
Immanuel Kant,Friedrich Heinrich Jacobi
Immanuel Kant,Friedrich Nietzsche
Immanuel Kant,Friedrich Schiller
Immanuel Kant,Friedrich Wilhelm Joseph Schelling
Immanuel Kant,Friedrich von Gentz
Immanuel Kant,Fyodor Dostoyevsky
Immanuel Kant,Gabriel Jean Edmond Séailles
Immanuel Kant,Georg Wilhelm Friedrich Hegel
Immanuel Kant,Georges Canguilhem
Immanuel Kant,Gilles Deleuze
Immanuel Kant,Gustav Fechner
Immanuel Kant,Géraldine Muhlmann
Immanuel Kant,Hannah Arendt
Immanuel Kant,Hans Christian Ørsted
Immanuel Kant,Hans Vaihinger
Immanuel Kant,Hans-Georg Gadamer
Immanuel Kant,Hans-Hermann Hoppe
Immanuel Kant,Harry Frankfurt
Immanuel Kant,Henri Bergson
Immanuel Kant,Hermann Cohen
Immanuel Kant,Hermann Weyl
Immanuel Kant,Hugo Bergmann
Immanuel Kant,Indalecio Armesto
Immanuel Kant,Jean Piaget
Immanuel Kant,Jean-Baptiste Girard
Immanuel Kant,Johann Friedrich Herbart
Immanuel Kant,Johann Gottfried Herder
Immanuel Kant,Johann Gottlieb Fichte
Immanuel Kant,John Rawls
Immanuel Kant,Leszek Kołakowski
Immanuel Kant,Lucien Lévy-Bruhl
Immanuel Kant,Luitzen Egbertus Jan Brouwer
Immanuel Kant,Marina Garcés
Immanuel Kant,Markus Herz
Immanuel Kant,Martin Buber
Immanuel Kant,Martin Heidegger
Immanuel Kant,Merab Mamardashvili
Immanuel Kant,Metrofan Aksyonov
Immanuel Kant,Michel Foucault
Immanuel Kant,Michel Houellebecq
Immanuel Kant,Mikhail Bakhtin
Immanuel Kant,Mirko Hribar
Immanuel Kant,Monroe Beardsley
Immanuel Kant,Nachman Krochmal
Immanuel Kant,Niklas Luhmann
Immanuel Kant,Nikolai Berdyaev
Immanuel Kant,Nikolai Stankevich
Immanuel Kant,Oleg Nogovitsyn
Immanuel Kant,Petite Meller
Immanuel Kant,Pierre-Jean Labarrière
Immanuel Kant,Rae Helen Langton
Immanuel Kant,Raoul Allier
Immanuel Kant,Raymond Aron
Immanuel Kant,Reza Negarestani
Immanuel Kant,Roger Scruton
Immanuel Kant,Rudolf Carnap
Immanuel Kant,Salomon Maimon
Immanuel Kant,Shem-Tov Gefen
Immanuel Kant,Slavoj Žižek
Immanuel Kant,Sorin Cerin
Immanuel Kant,Stephen Law
Immanuel Kant,Søren Kierkegaard
Immanuel Kant,T. S. Eliot
Immanuel Kant,Umberto Eco
Immanuel Kant,Valentin Asmus
Immanuel Kant,Wilhelm Dilthey
Immanuel Kant,Yeshayahu Leibowitz
Immanuel Kant,Éric Weil
Benedictus de Spinoza,Immanuel Kant
Christian Wolff,Immanuel Kant
David Hume,Immanuel Kant
Francis Hutcheson,Immanuel Kant
George Berkeley,Immanuel Kant
Gottfried Wilhelm Leibniz,Immanuel Kant
Isaac Newton,Immanuel Kant
Jean-Jacques Rousseau,Immanuel Kant
Johannes Nikolaus Tetens,Immanuel Kant
John Locke,Immanuel Kant
Michel de Montaigne,Immanuel Kant
Nicolas Malebranche,Immanuel Kant
Plato,Immanuel Kant
René Descartes,Immanuel Kant
